sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
102,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,4972700,4855,Strata,01 to 05,1024,Dec-14
103,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2112600,1378,Strata,21 to 25,1533,Dec-14
104,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2650000,1701,Strata,01 to 05,1558,Nov-14
105,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1398000,689,Strata,01 to 05,2029,Nov-14
106,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4023328,2131,Strata,06 to 10,1888,Nov-14
107,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1800000,1464,Strata,01 to 05,1230,Nov-14
108,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2832000,1485,Strata,01 to 05,1907,Nov-14
109,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1848000,1001,Strata,01 to 05,1846,Nov-14
110,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6700000,2497,Strata,06 to 10,2683,Nov-14
111,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3362000,1410,Strata,06 to 10,2384,Nov-14
112,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,5310000,2960,Strata,11 to 15,1794,Nov-14
113,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1310000,786,Strata,11 to 15,1667,Nov-14
114,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,2380000,840,Strata,01 to 05,2835,Nov-14
115,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2467000,1335,Strata,01 to 05,1848,Nov-14
116,THE EQUATORIAL,STEVENS ROAD,Condominium,10,CCR,Freehold,1,2085000,1378,Strata,06 to 10,1513,Nov-14
117,ONE TREE HILL RESIDENCE,ONE TREE HILL,Apartment,10,CCR,Freehold,1,3850000,2454,Strata,11 to 15,1569,Nov-14
118,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2435000,1012,Strata,01 to 05,2407,Nov-14
119,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4880000,1970,Strata,01 to 05,2477,Nov-14
120,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1298000,936,Strata,01 to 05,1386,Nov-14
121,CITY TOWERS,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,2200000,1550,Strata,11 to 15,1419,Nov-14
122,BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2700000,1755,Strata,06 to 10,1539,Nov-14
123,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2058400,1356,Strata,21 to 25,1518,Nov-14
124,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2750000,1744,Strata,11 to 15,1577,Nov-14
125,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1300000,538,Strata,01 to 05,2415,Nov-14
126,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1600000,1109,Strata,01 to 05,1443,Nov-14
127,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1741739,1001,Strata,01 to 05,1740,Nov-14
128,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1465000,689,Strata,01 to 05,2127,Nov-14
129,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,7280000,2885,Strata,06 to 10,2524,Nov-14
130,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2492400,1399,Strata,31 to 35,1781,Nov-14
131,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2828000,1432,Strata,01 to 05,1975,Nov-14
132,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3353300,2239,Strata,26 to 30,1498,Nov-14
133,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1785000,861,Strata,06 to 10,2073,Nov-14
134,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2450000,1485,Strata,01 to 05,1649,Nov-14
135,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1380060,689,Strata,01 to 05,2003,Nov-14
136,GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,1,7450000,2852,Strata,16 to 20,2612,Nov-14
137,LOFT @ STEVENS,STEVENS ROAD,Apartment,10,CCR,Freehold,1,986888,441,Strata,01 to 05,2236,Nov-14
138,THE FORD @ HOLLAND,FORD AVENUE,Condominium,10,CCR,Freehold,1,972500,506,Strata,01 to 05,1922,Nov-14
139,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,8200000,2885,Strata,26 to 30,2843,Nov-14
140,THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,3080950,1432,Strata,31 to 35,2152,Nov-14
141,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,1,2568000,1335,Strata,01 to 05,1924,Nov-14
142,VILLA DELLE ROSE,TAMAN NAKHODA,Condominium,10,CCR,Freehold,1,4500000,3294,Strata,-,1366,Nov-14
143,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,1950000,1615,Strata,01 to 05,1208,Nov-14
144,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,3500000,2174,Strata,01 to 05,1610,Nov-14
145,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,RCR,99 yrs lease commencing from 2013,1,1615115,753,Strata,01 to 05,2144,Nov-14
146,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,4132800,2067,Strata,21 to 25,2000,Nov-14
147,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428000,689,Strata,01 to 05,2073,Nov-14
148,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6197350,2508,Strata,01 to 05,2471,Nov-14
149,PINEWOOD GARDENS,BALMORAL PARK,Condominium,10,CCR,Freehold,1,2500000,1647,Strata,01 to 05,1518,Nov-14
150,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6150000,2508,Strata,01 to 05,2452,Nov-14
151,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1570000,1367,Strata,01 to 05,1148,Nov-14
152,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6609525,2551,Strata,06 to 10,2591,Oct-14
153,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1270000,538,Strata,01 to 05,2360,Oct-14
